gene_id,PLB1K1,PLB1K2,PLB1K3,PLB1K-rmpA1,PLB1K-rmpA2,PLB1K-rmpA3
b0222,446952,391564,334140,395379,275581,344803
b4175,224697,246444,224827,584829,522063,380659
b0471,241990,325723,309861,516570,488228,296467
b3648,470374,429434,490324,200127,293554,291552
b1642,435240,345401,357199,403431,314662,318141
b0419,469730,444075,458402,145804,359813,292029
b2993,322298,351977,336855,144585,578780,433413
b3311,71896,129548,218383,1202438,387503,150609
b2304,577952,547521,523384,139549,159016,208684
b3228,378763,360969,326471,338860,394345,356010
b1783,592352,302707,174908,289308,325909,467874
b3568,268752,350558,278211,82634,725308,436257
b2908,434994,391653,383402,255360,316475,356048
b1557,309314,323733,440061,235456,504223,306555
b0154,435963,501496,460204,229029,210309,278743
b3207,477332,345444,379452,313830,263608,333433
b0492,161852,227115,156279,730287,461376,375998
b3730,303708,369870,417855,323763,338724,357885
b3087,439371,450908,395759,181529,386292,250909
b0895,306929,335378,378305,98754,636551,341794
b3977,340125,396535,468771,259519,350946,280444
b0015,105677,212910,152523,696188,411289,512573
b0999,648680,316746,243694,211460,235081,430079
b2995,282444,348321,319773,143651,548198,433576
b1819,245391,221814,242287,354275,569678,435416
b2412,367750,338096,343553,320097,352763,341813
b2790,537080,490397,509937,113291,202322,207844
b3833,379384,394379,346926,304431,330463,301081
b0658,305239,288639,266886,456881,288109,449914
b3049,558672,523089,624166,65848,91210,189424
b3089,760359,653246,358990,70774,47796,159024
b2922,440116,320895,344231,403045,217430,318122
b3956,356690,320455,284383,334519,422045,323963
b2830,492667,446855,521956,177018,185796,216043
b2879,564667,416005,584701,3135,337037,129542
b3092,454247,333004,274065,196966,538341,228686
b0786,510599,367251,367030,232412,257622,285761
b1818,220741,239914,234140,381422,561532,382746
b0684,296795,322430,314017,330725,362815,385012
b0767,249559,235034,200831,525024,349107,437284
b4206,479747,464753,507113,149209,183571,212171
b0902,403955,427709,501014,183413,229591,247528
b2595,301451,312656,273209,308535,451153,341398
b0181,279284,297547,287188,392349,355433,373671
b3713,562431,469351,491920,134006,165779,156197
b4558,361210,380588,485558,216867,255898,271842
b2571,481144,419310,318539,145729,342878,262407
b3686,14793,11336,6341,887564,808704,240013
b2065,344693,428442,379984,236679,279767,298654
b2518,297072,518593,523035,348362,102139,177802
b0177,249682,316217,276767,409812,389854,321758
b0659,284390,259416,274910,451186,312725,373525
b0133,350913,310579,293186,337734,293774,369356
b2285,296974,317638,246901,508793,231655,345618
b3554,357279,305189,297763,290433,397048,297320
b0428,348216,386004,254132,503682,56497,388675
Novel00306,386498,306078,342863,107963,229389,561356
b2340,578184,425778,301276,153062,266937,208798
b4031,174851,241536,266270,97393,889043,262890
b3417,98819,139391,157950,167394,1211913,156205
b2896,484350,509643,395741,112638,181642,239789
Novel00144,389150,368046,405612,108047,271650,380460
b2875,494810,468931,445031,47031,235726,219091
b0026,176472,227871,203479,570555,410671,317799
b3094,451034,401849,411898,177596,232750,230094
b2532,348286,361855,427158,218474,273412,275900
b1723,409435,370538,352393,237327,213838,316305
b3176,282740,341394,320642,320482,373902,259816
b3780,327922,298290,296281,283241,412225,270931
b4056,486156,364331,378758,150176,204548,302894
b1713,116858,141075,150574,800428,393297,277771
b3831,257255,245151,216933,319082,342337,495533
b1014,370406,350653,224629,376125,81545,462910
b3843,375224,403284,468177,198591,186669,230913
b3118,203882,248230,197514,38893,772035,401068
b0884,183529,223585,333928,409621,453330,257002
b1912,402339,379056,470448,150007,226117,227956
b2620,342349,356903,400884,242818,270203,242312
b4059,276409,273236,221409,353275,382486,347109
b2573,560682,365073,361995,132550,260563,173012
b0179,220269,261176,232859,457116,364340,316236
b0054,289466,305756,306454,347045,344050,258607
b2687,229238,174838,214914,492340,339940,399092
b1667,494863,321130,348284,150585,139627,391669
b1128,375036,343000,298081,226642,290516,309391
b0194,203255,265727,267355,469742,325737,310664
b2209,230720,259592,226125,363141,326302,425867
b2369,459486,404089,395242,119362,226608,225026
