gene_id,PLB1K1,PLB1K2,PLB1K3,PLB1K-rmpA1,PLB1K-rmpA2,PLB1K-rmpA3
b3302,167788.0742179435,398898.6835642564,529904.9386229401,3475105.463479911,1340901.007073067,555906.1778984569
b3349,820682.1459759647,1027728.6518596344,943717.4061196481,852463.5255772707,1040851.4111777993,867647.3259750786
b3528,1268176.4657655386,1574451.9867060417,1277576.1048743008,286695.93319581024,90063.98633567593,523783.58169213054
b4396,1102948.0947299167,1170484.0055216732,1215553.3493668977,488271.9760303303,573406.3959451678,652963.2698594887
b3175,494067.3055943233,711179.1782481933,962367.9624215015,1095554.1449717344,1375819.320406959,1071746.8641567826
b4554,1545884.703413071,1171749.2625133162,989769.090863188,270371.99972797703,303056.25390951446,694673.5453204253
b0814,527311.3724441851,668878.981539932,937496.8402483609,1709419.1345408766,1103990.0490066211,772961.4375107075
b0115,199031.00392221296,349347.83840207,192522.79994567018,1426180.356746113,842814.5226312454,2880752.4341059937
b1093,688039.922971032,772710.9136892706,836043.1246583357,1260574.9130673667,1083965.730241144,882284.9475602334
b1415,1334165.4886369247,1436591.3490893785,873476.0761208071,809577.3105399772,123925.77869479336,420099.63344727416
b0755,552182.424880726,613050.5504903782,544367.2900523492,1992539.1501078203,877327.9346306707,1138856.3770723336
b2185,303881.8285310676,746076.1973372337,1185964.8100009197,1461892.5501754212,1250377.817766232,679407.0669939826
b3099,771605.0006704174,568387.9894208139,427372.37265344686,1483675.6308846956,849553.8279329083,1443839.1709968005
b3157,873418.1335136994,1092360.5885278748,1221398.824400573,430158.0942435423,841222.0681117248,635655.3931738905
b2795,880692.7911825278,1015128.4564156256,920707.8114945568,473488.0362858776,1225258.5889145792,617701.6922801232
b4129,580704.4964957187,589019.8561530953,537225.7090550446,1253061.570808467,1187305.2862777312,1337320.5953160883
b3156,896129.2408138132,1062058.7402559777,1057392.2125400843,417934.72033406625,805312.1596730163,681646.7726223131
b3037,801591.5479447334,937096.9244611622,900050.8905885465,644750.9992789073,977345.6470661229,753138.1338599578
b3732,177196.86094587122,415450.8545500636,316050.2399520915,3007836.130661752,794360.9361166094,1112573.7708732118
b2587,1018545.950280811,1090072.651048433,996652.5647989677,762877.653418177,302569.90012000926,672871.4108446449
b3178,526545.49548346,739589.1135601825,689878.395536433,1212969.5308235106,1155977.9637877098,957402.0443770742
b3347,608797.8647659948,703124.5357000871,633209.9688916737,1321212.8184651867,1265568.1103957288,763952.7730634215
b2551,524358.9519643316,958398.6331301956,790248.6185336534,1120333.6880444677,942038.9589828444,849188.8429415929
b4142,151511.42861544382,367383.9527731375,250650.73846351355,3110094.32405307,1073610.6442179899,902228.0839458323
b3734,254978.35501845292,560367.3443372616,489457.33381956274,2691051.5912858257,744447.107763095,891180.142072751
b3067,270500.858240831,422175.001728599,329889.6063517045,2235751.141888957,1526590.1756239308,868406.6201180165
b4177,477742.15705866227,569589.8457353157,631914.7913707118,1280491.7301966122,1455386.5642759355,908018.2320190732
b3781,809478.7507210672,910945.5234160273,941402.7985499288,814231.2237752101,726398.8963850734,743690.4362071183
b2614,220096.1407163353,431893.68233906216,333410.2609463196,2585131.3450234863,1193682.187177991,927693.0703346117
