gene_id,mean_control,mean_treatment,log2_fold_change,pvalue,padj,significant
b1063,7.675090342123094,6.753134304168338,-0.9219560379547564,0.04207638058429745,0.13527134388418835,False
b0972,7.936051203944352,5.460904091465443,-2.4751471124789086,0.07514265768491918,0.182489311520518,False
b1378,7.280158499801986,7.328542350034996,0.048383850233010506,0.41651250974824866,0.5598407139113926,False
b1763,7.6431971282037,6.848974078568065,-0.7942230496356348,0.0011121515863918349,0.04212625066240955,False
b3081,8.062216442103697,4.878311196528263,-3.183905245575434,0.002167331095719579,0.04722573938735389,True
b0487,7.573458063440583,6.875619015308381,-0.6978390481322023,0.10694237686297975,0.2248624556446622,False
b3704,6.234917149620742,7.801730204754999,1.566813055134257,0.027887083889868016,0.10879482818254038,False
b3150,7.467557496609916,7.0644592175616525,-0.40309827904826356,0.16363260084851586,0.2946962731172308,False
b2989,7.214294038033329,7.333267986729832,0.11897394869650313,0.6430770864118849,0.7423173775248301,False
b0480,7.531233940962378,6.990401552342417,-0.5408323886199611,0.03252802578899061,0.11782548808796599,False
b3809,7.647201375082584,6.7974281224711115,-0.8497732526114721,0.009621918692683749,0.07296772762422614,False
b0662,7.540460262421966,6.970866084247781,-0.5695941781741851,0.023392733566720877,0.10074756295904107,False
b3095,7.442688061125684,7.092163134652071,-0.35052492647361255,0.16481859073417143,0.29600073437973645,False
b2329,7.274138345159518,7.284199634492246,0.010061289332728762,0.9548106013750766,0.9686234129682061,False
b3011,7.130163704492961,7.337769852238547,0.20760614774558572,0.5837154766012307,0.6952534657607015,False
b1795,6.905783570197453,7.456272032837581,0.5504884626401276,0.32059275737951365,0.4653364473218814,False
b3226,7.749074750072796,6.555370415594698,-1.193704334478098,0.00273870861555067,0.05038518155255034,False
b2231,6.997754657705063,7.4724163960128935,0.4746617383078302,0.17538975163594211,0.30744512058163903,False
b4018,7.8007150318909915,6.4263436533939435,-1.374371378497048,0.0015177629099227252,0.044841133131615835,True
b0897,6.766695500154996,7.540358194896862,0.7736626947418657,0.19257551565247608,0.3284982570309056,False
b3167,6.943058180236164,7.515301525131888,0.5722433448957238,0.06879654274965509,0.1743415493283185,False
